id,Titel,Body,Kategorie,Datum,Quelle
61,„Stehe bereit“: Unbekannter Liesinger Lokalpolitiker möchte SPÖ wieder an die Spitze führen,"SPÖ-Chef Christian Kern steht nach wenigen Monaten als erfolgloser Oppositionsführer vor dem Rücktritt und will für das EU-Parlament kandidieren. Droht die Sozialdemokratie jetzt ohne Leitfigur ins Chaos abzugleiten? Ein bisher völlig unbekannter Lokalpolitiker aus Wien-Liesing möchte das verhindern. Werner F. (58) trat heute ins Rampenlicht und will sich der Mammutaufgabe stellen: Die SPÖ wieder an die Spitze bringen.
LIESING — „Wir dürfen jetzt nicht in die Vergangenheit schauen. Schon gar nicht auf irgendwelche Wikipedia-Artikel über die vorletzte Regierung. Sondern nur in die Zukunft“, erklärt Werner F., der seinen vollen Namen erst bekanntgeben will, sobald er das Vertrauen seiner Genossen gewonnen hat.
Mit dem Taxi begleiten wir den ambitionierten Newcomer von Atzgersdorf in die Löwelstraße, der SPÖ-Zentrale. „Ich will Christian Kern keinen Vorwurf machen“, erklärt F., während er den Wagen mit ruhiger Hand durch den Wiener Berufsverkehr steuert. „Aber jetzt muss ein frischer Wind durch die Löwelstraße fegen, der die Wähler zurückholt.“
Politologen sehen viele Gründe für Kerns Scheitern. Er vereinbare zu viele Eigenschaften in sich, die bei Politikern heute unbeliebt sind, wie etwa eine Berufsausbildung. Hier könne er punkten, erklärt uns Werner F. und zeigt uns die fünfseitige Lücke in seinem Lebenslauf.


Doch er übernimmt die marode Partei nicht um jeden Preis. Im Gepäck hat der aufstrebende Jungstar eine Liste an Forderungen an die Parteigranden. Er will mit neuem Parteinamen antreten: „Liste Werner. Der neue Stillstand.“
Von SPÖ-Funktionären gibt es derzeit noch keine Stellungnahmen zu dem Angebot. Man wolle sich erst zu Wort melden, sobald die Delegierten das Job-Interview mit dem zweiten Bewerber abgeschlossen haben: dem vermögenden Wiener Oligarchen Alfred G.






",Politik,2018-09-18 16:32:32,Reuters
62,Schock-Fund in ÖVP-Zentrale: Putzfrau entdeckt geheime Mahrer-Klon-Fabrik,"Diesen Schreck wird Ralitsa F. so schnell nicht vergessen. Die 46-jährige Mitarbeiterin einer Hausbetreuungsfirma stieß am Montagabend bei Reinigungsarbeiten im Keller der Wiener ÖVP-Zentrale auf eine geheime Klon-Fabrik. Diese wird anscheinend für die Herstellung von Harald-Mahrer-Doppelgängern genutzt.
WIEN – Für eine Rauchpause setzte sich Ralitsa F. auf einen alten, verstaubten Stuhl. „Leider war es der ehemalige Bürosessel von Reinhold Mitterlehner, bei dem bereits alle vier Beine angesägt waren. Ich krachte sofort damit zu Boden“, schildert die 46-Jährige.
Im Fall dürfte die Reinigungsmitarbeiterin zufällig einen versteckten Schalter betätigt haben, der eine getarnte Tür öffnete und ein dahinterliegendes Geheimlabor mit beklemmendem Inhalt freigab.
Dystopische Szenen
Aus über 30 Glastanks starrten Ralitsa F. voll ausgebildete, in türkis schimmernder Flüssigkeit schwimmende Klone von Harald Mahrer an. „Es war fast wie in dieser gruseligen Science-Fiction-Serie, wo eine durch dunkle Mächte erschaffene Klon-Armee langsam ein ganzes Volk versklavt. Ich glaub, Zeit im Bild heißt die“, so die noch immer geschockte Finderin.


Erste Analysen zeigen, dass die Harald-Mahrer-Klone in einem hochverdichteten Leistungsträger-Nährschleim aus Steuerzahlerblut, Arbeitnehmer-Angstschweiß, Sozialistentränen und Vitamin B herangezüchtet wurden.
Rätselhafte Umstände
Polizeilichen Ermittlungen zufolge wurde das Geheimlabor von einem mysteriösen Verdächtigen mit dem Codenamen „Dr. Lüssel“ betrieben. Dieser konnte völlig unbehelligt in der ÖVP-Zentrale aus- und eingehen und stellt die Partei vor ein Rätsel.




„Uns ist diese Person völlig unbekannt. Jemand, der so etwas Abscheuliches macht, würde wahrscheinlich auch mit Rechtsnationalisten koalieren, nur um Kanzler zu werden. So jemand hat in der Neuen Volkspartei keinen Platz“, so VP-Bundesgeschäftsführer Melchior in einer ersten Stellungnahme.
Schaden für die Republik soll bislang jedoch nicht entstanden sein. Die Mahrer-Klone wurden bisher nur für einfache Tätigkeiten eingesetzt, für die es weder Kompetenz noch Erfahrung benötigt; etwa Wirtschaftskammerpräsident, SVA-Obmann oder Präsident der Nationalbank.

",Politik,2018-09-18 14:00:12,Reuters
63,"TESTBERICHT: Achtung, Mogelpackung! Konsumentenschützer warnen vor Liste Pilz","Was Konsumenten alles versprochen und dann nicht gehalten wird! Diesmal im Parteien-Check: Eine Liste, die sich selbst als Alternative Partei vermarktet. Im Test des Tagespresse-Konsumentenschutzes fällt das Produkt jedoch knallhart durch.
Geringe Haltbarkeit
Im Jahr 2017 wurde die Liste Pilz noch mit Pauken und Trompeten am Markt eingeführt. Doch nach nicht einmal einem Jahr zeigt das Produkt bereits starke Auflösungserscheinungen.
Unsere Analyse konnte außerdem eine geplante Obsoleszenz (Nationalratswahl 2022) nachweisen, doch in Wahrheit dürfte die Liste Pilz laut Laborversuch schon vorzeitig den Geist aufgeben. Wir meinen: Brutale Kunden-Abzocke!
Fragwürdige Inhaltsstoffe
Im Test zeigt sich, dass die Liste Pilz ein bereits 1968 (!) abgelaufenes Frauenbild enthält. Besorgniserregend ist auch der aggressive Pilzbefall, der sich im ganzen Produkt ausgebreitet hat. Der sogenannte „Fungus Peter“ kann bei Frauen allergische Reaktionen auslösen.


Trotz wütender Reklamationen enthalten einige Teile außerdem nach wie vor Spuren der problematischen Zutat „Peter Kolba“. Abstand halten ist angesagt!
Täuschende Verpackungsaufmachung
Die Verpackungsbeschreibung ist besonders dreist. Laut Verpackungsbeschreibung sollte die „Liste Pilz“ aus mindestens 50% weiblichen Abgeordneten bestehen. Hier hat man inzwischen zwar nachgebessert, doch dürfte es sich von Anfang an nur um einen billigen Marketinggag gehandelt haben.




Fazit: Der reinste Nepp! Die Hersteller sollten in Zukunft klar und deutlich angeben, was sich wirklich im Produkt befindet. Schon eine Änderung der Etikettenaufschrift von „Partei“ auf „Gentlemens Club“ könnte hier Ärger beim Kunden vermeiden. Lassen Sie sich nicht lumpen!


",Politik,2018-09-18 11:24:53,Reuters
64,Erfolgreich überleben bei Amok und Terror – Tipps und Tricks von Herbert Kickl,"
Wer kennt das nicht? Man spaziert gemütlich die Straße runter, auf einmal findet man sich mitten in einem Terroranschlag wieder. Mist! Doch keine Sorge: Innenminister Herbert Kickl präsentiert heute einige Tipps und Tricks, mit denen dein nächster Terroranschlag garantiert zum Spaziergang wird.",Politik,2018-09-17 12:46:13,Reuters
65,Regierung warnt vor Ende der Zeitumstellung: Flüchtlinge eine Stunde früher in Europa,"Mit eindringlichen Worten warnten Bundeskanzler Sebastian Kurz und Vizekanzler Heinz-Christian Strache vor einer Abschaffung der Zeitumstellung. Dadurch können Flüchtlinge um eine Stunde früher in Europa ankommen als bisher. Die Regierung fordert die EU zum Handeln auf und will die Zeitreiseroute schließen. 
WIEN — „Die Bürokraten in Brüssel nehmen uns unsere Zeitumstellung weg“, beschwert sich Strache nach dem Ministerrat. „Die EU will, dass wir unsere Uhren nicht mehr zurückstellen, damit die Flüchtlinge noch früher als bisher unsere Jobs wegnehmen und Arbeitslosengeld beantragen können.“
Strache betont, weiterhin keine Flüchtlinge in Europa anlegen lassen zu wollen. „Nicht einmal die, die den gefährlichen Seeweg von Afrika schaffen, ohne dabei von der Erdscheibe runterzufallen.“
Harte Regierungsarbeit
Seit Beginn der Legislaturperiode arbeitet die Regierung in die genau entgegengesetzte Richtung. Eine Stunde sei nicht genug, so Kurz: „Wir haben die Uhren in Österreich schon jetzt um 80 Jahre zurückgedreht.“


Kompromiss?
Als mögliche Lösung könne sich die Regierung Lager in Nordafrika vorstellen, in denen Flüchtlinge ihre Uhren im Tempo von einer Sekunde pro Monat an die neue Zeit in Europa anpassen können. Bundeskanzler Kurz betont, dass er seinem Wahlslogan der „Liste Kurz“ treu bleiben wird: „Schon damals habe ich das neue Credo für unser Land herausgegeben: Es ist Zeit. Nämlich Sommerzeit.“

",Welt,2018-09-14 15:20:22,Reuters
66,Endlich nicht mehr auf Musik angewiesen: Yung Hurn besteht Rechtsanwaltsprüfung,"Der bekannte Musiker Yung Hurn darf seit heute die Berufsbezeichnung „Rechtsanwalt“ führen. Die Wiener hat die Prüfung an der Rechtsanwaltskammer mit Auszeichnung bestanden. Er hat sein Hobby damit zum Beruf gemacht und ist endlich nicht mehr auf die Musik angewiesen.
„Auch wenn ich meine Zeit als Musiker sehr genossen habe, möchte ich mich künftig verstärkt meiner Leidenschaft widmen: dem Insolvenz- sowie dem Wettbewerbsrecht mit Fokus auf Kapitalmarkttransaktionen“, so Hurn zur Tagespresse. Er schließt jedoch zukünftige Auftritte in kleinen Runden, etwa auf Firmenfeiern für seine Kanzlei Wolf Theiss, nicht aus.
Bei seinem Arbeitgeber steigt er mit der erfolgreichen Zulassung vom Konzipienten zum Junior Associate auf. „Wir freuen uns, mit Herrn Mag. Hurn einen ausgewiesenen Experten an Bord zu haben, der schon zahlreiche institutionelle Mandaten in ganz Europa kompetent betreut hat“, heißt es von Wolf Theiss.
Kollegen prophezeien Mag. Hurn aufgrund seiner umfassenden Fachkompetenz, seines beträchtlichen Kokainkonsums und seiner astronomischen Frauenverachtung im Wirtschaftsbereich eine steile Karriere.




",Finanzen,2018-09-14 10:55:59,Reuters
67,Irgendwelche Zahlen: So wichtig ist Datenjournalismus,"Datenjournalisten bezeichnen Datenjournalismus als unverzichtbar. Die zahlengetriebene Berichterstattung ist in Österreich noch neu. Was hat es mit Datenjournalismus wirklich auf sich? Diese Visualisierungen geben darüber Aufschluss.
Journalisten von DerStandard.at verglichen im Jahr 2018 Daten zu Asylwerbern in Lehre mit Bissattacken von Kampfhunden auf Babys. Sie speisten die Zahlen in ein System ein und klickten irgendwelche Buttons an. Heraus kam diese bemerkenswerte Grafik:

Was sagen uns diese Kurven? Niemand kann auf diese Frage eine Antwort geben. Doch ein Redakteur ist sicher: „Was auch immer es bedeutet, es muss stimmen weil es ist durch Daten belegbar.“


Datenjournalismus beeinflusst mittlerweile sogar die Politik. Eine monatelange Recherche der Universität Wien analysierte einen Zusammenhang zwischen Rücktritten von österreichischen Politikern nach Skandalen und Verwaltungsreformen der letzten 50 Jahre.





Das verblüffende Ergebnis: Sowohl Anzahl als auch Zeitpunkt der Ereignisse glichen sich komplett.
Datenjournalismus bringt auch unangenehme Wahrheiten zutage. Datenjournalisten von Krone.at sorgten mit dieser explosiven Grafik vergangene Woche für hitzige Debatten:

„Wen diese Grafik nicht wütend macht, der ist kein Österreicher“, erklärt dazu Krone.at-Chefredakteur Richard Schmitt. Stellungnahmen von linken Politikern gab es bis Redaktionsschluss noch keine – offenbar, um die Grafik totzuschweigen.
Datenjournalismus wirbelt jetzt sogar die Weltpolitik auf. Ein Team aus Statistikern der New York Times stellte sich die Frage: Was passiert, wenn man alle Länder dieser Welt auf einer Grafik nach ihrer geografischen Position anordnet? Ihr verblüffendes Ergebnis:

Einige deutliche Erkenntnisse lassen sich aus dieser Grafik ablesen. So sind Alaska und Sibirien die am weitesten voneinander entfernten Punkte auf der Welt. Außerdem sehen sich Afrika und Südamerika sehr ähnlich. Die Journalisten vermuten, dass sie womöglich noch vor einigen Jahren zusammengehört haben. Auch auf den Nahost- sowie den Ukrainekonflikt geben die Forscher eine sehr einfache Lösung: Israel müsste einfach mit der Ukraine ausgetauscht werden.

",Leben,2018-09-13 12:10:57,Reuters
68,Promi-Umfrage: Was würden Sie mit dem 10 Millionen Lotto-Jackpot machen?,"Fast 10 Millionen Euro warten bei der heutigen Lottoziehung auf den glücklichen Gewinner. Was soll man mit so viel Geld nur anfangen? Wir haben uns bei österreichischen Promis umgehört.


Beate Hartinger-Klein
„Ich würde jedem Arbeiter dieses Landes einen Lottoschein kaufen, denn davon können diese dann ein ganzes Leben lang auskommen.“
 



Didi Mateschitz
„Millionen? Ist das die Zahl mit den sechs Nullen oder den sieben Nullen?“





 






André Heller
„Schon lange sehne ich mich nach meinem 400. Künstlerschal aus feinsten afrikanischen Kinderhaaren. Die Summe würde mir auch zustehen. Immerhin habe ich im Jahr 2005 Afrika entdeckt.“





Michael Fleischhacker
„Salve! Es ist so: Ich würde 10.000 Österreichern 10.000 Euro Schmerzensgeld zahlen, damit sie ein Monat lang jeden Tag Addendum lesen.“





Ulli Sima
„Ich würde mir ein Mosaik aus 10.000 Fotos von mir herstellen lassen, die ein riesiges Foto von mir ergeben.“





KTM-Chef Stefan Pierer
„Ich liebe meine Mitarbeiter. Deshalb investiere ich das Geld in wunderschöne Weihnachtsbeleuchtung für die Suizidnetze unter den Fenstern der KTM-Fabrik. Frohe Weihnachten!“





Gernot Blümel
„Ich würde mir ein künstlerisches Kunstbild von einer malerischen Landschaft kaufen, was ein Maler gemalt hat, aber ich kenne zu viele Künstler, um jetzt noch konkreter zu werden.“





Hans Bürger
„Ich würde mir von einem Schweizer Gehirnchirurgen den Frontallappen verändern lassen, damit ich nie wieder kritisch denken kann und – oh Moment, diese Operation hatte ich ja bereits am 18. Dezember. Also genau an dem Tag, seitdem Herr Sebastian Kurz unser Land in die richtige Richtung lenkt.“





Dariadaria
„Mit den 10 Millionen Euro würde ich ausgebeuteten Näherinnen aus Bangladesch das geben, was sie wirklich brauchen: T-Shirts aus meiner nachhaltigen Modekollektion und einen entspannenden Yogaurlaub auf Bali.“





Martin Ho
„Ich würde die Gruft kaufen und sie zu einer shabby-chic Afterwork-Lounge für Entrepreneure und High Performer hochbumsen. Obdachlose sind weiterhin gerne willkommen, solange sie 20 Euro Eintritt zahlen und sich vorher einen gut sitzenden Maßanzug aus der Humanabox rausfischen.“





Dr. Florian Klenk
„Achtung, hier spricht Dr. Florian Klenk! Geld anzunehmen wäre nicht mit meiner strengen journalistischen Ethik vereinbar. Daher würde ich alles der gemeinnützigen “Dr. Florian Klenk Stiftung” spenden, damit diese im Dienste der Demokratie und Pressefreiheit eine Dr.-Florian-Klenk-Statue auf der Ringstraße errichten kann.“



",Leben,2018-09-12 13:27:25,Reuters
69,„Keine Zusammenarbeit mit rechten Hetzern“: Orbán geht auf Distanz zu Kurz,"Nach wachsendem Druck geht Ungarns Premier Viktor Orbán jetzt auf Distanz zu Sebastian Kurz. Mit rechten Hetzern wolle er nicht zusammenarbeiten, erklärte er in Budapest auf einer Rede vor hunderttausenden Teilnehmern des Lichtermeers gegen Faschismus. Er warnt vor den Umtrieben des österreichischen Kanzlers, der Europa spalten möchte.
Sorge um Österreich
„Ich verstehe nicht, wie mein geschätzter Freund und Kollege H.C. Strache weiterhin an Kurz festhält“, erklärt Orbán enttäuscht. „Kurz ist nichts weiter als ein Maturant im Schafspelz. Er arbeitet an der totalen Spaltung der EU und sollte dahin gehen, wo er herkommt: auf die Balkanroute.“
Orbán denkt auch über ein EU-Verfahren gegen Österreich nach: „Hier dürfen wir als europäische Gemeinschaft nicht länger wegsehen. Wien darf nicht Chemnitz werden!“
Harte Sanktionen
Zusätzlich könne sich Ungarns Premier harte Wirtschaftssanktionen vorstellen und keine 24-Stunden-Pflegerinnen mehr zur Ausbeutung nach Österreich zu schicken. Damit werde Österreichs Pflegesystem bis spätestens Sommer 2019 zum Kollaps gebracht.


Falls sich die Lage in Österreich trotzdem nicht bessert, überlegt Orbán, Strache aufzunehmen. „Lieber HC, für dich ist bei uns immer ein Platz frei. In meinem Herzen und als Zahntechniker in Sopron.“

",Welt,2018-09-11 13:35:51,Reuters
70,Sinkende Hürden für Polizeibewerber: IQ muss nicht mehr höher sein als Alter,"Die Polizei findet zu wenig qualifizierten Nachwuchs. Daher werden die Anforderungen jetzt noch weiter nach unten geschraubt. Künftig werden erstmals auch Bewerber genommen, deren IQ geringer ist als ihr Alter. 
Eine der kniffligen Fragen beim Aufnahmetest lautet etwa „Wollen Sie Polizist werden?“ mit den Antwortoptionen Ja oder Nein. „Leider scheitern mehr als die Hälfte unserer Bewerber an dieser Frage, wird sind ratlos“, sagt ein Mitarbeiter des Innenministeriums.
Thomas (25) aus Salzburg hat heute Glück: Der Polizeipsychologe schätzt seinen IQ auf 24,9 – genug für den Dienst an der Waffe. „Ich hab schon fast das Sturmgewehr ins Korn geworfen“, sagt er erleichtert. „Letzte Woche habe ich mich als Managing Partner bei McKinsey beworben und wurde abgelehnt wegen Überqualifizierung.“
Gewaltausbrüche
Manche Bewerber reagieren auf die Fragen mit Gewaltausbrüchen und werfen etwa ihre Computertastatur durch die Fensterscheibe. Sie qualifizieren sich mit diesem kreativ-brutalen Lösungsweg direkt für einen begehrten WEGA-Posten. „Der IQ ist uns mittlerweile egal. Wir konzentrieren uns im Test auf andere, viel wichtigere Qualitäten für die WEGA-Arbeit, zum Beispiel gesunde Aggressionen gegenüber Randgruppen“, sagt Polizeipräsident Gerhard Pürstl stolz.


Die Polizei will weitere Anreize schaffen, um die richtigen Bewerber zur Polizei zu locken. Wer ein Testergebnis von mehr als 500 Punkten schafft, bekommt einen Gutschein für 20 Freisprüche nach eskalierten Amtshandlungen.

",Leben,2018-09-10 15:18:04,Reuters
71,Islamisierung oder Skandalisierung? Ein Tag in einer Wiener Problemschule,"Verliert die Stadt Wien die Kontrolle über islamistische Umtriebe an Wiener Schulen? Oder skandalisieren Medien und Politik ein Problem, das gar keines ist? Die Tagespresse begibt sich einen Tag an eine Schule nach Wien-Simmering, um eine Antwort auf diese Frage zu finden. 
8 Uhr. Der Ruf des Muezzins verkündet den Unterrichtsbeginn. Ein Tagespresse-Reporter betritt die Klasse 3B. “Guten Morgen!”, heißt uns Biologie-Lehrerin Claudia (24) willkommen. “Du kannst dich gleich neben den Richard setzen”, sagt sie und zeigt auf Krone-Chefredakteur Richard Schmitt, der von der letzten Reihe aus einen Islam-Liveticker schreibt.
8:30 Uhr. Ein Mädchen zieht sich den Pullover aus, ihre Oberarme werden frei. Claudia muss erstmals pädagogisch intervenieren und ermahnt einige Burschen mit strengem Tonfall: „Bitte diesmal keine Auspeitschungen vor der großen Pause, seid so lieb, ok?“
9:07 Uhr. Mathematik. Zwei Buben beginnen zu streiten. Einer sticht dem anderen mit seinem Zirkel in den Finger.


9:08 Uhr. Krone.at titelt: „Wiener Problemschule: Afghane ersticht Klassenkollegen“. Strache teilt den Artikel. Irene Brickner von DerStandard.at jubelt: „Gelungene Integration: Afghanischer Schüler bringt sich selbst geometrisch Zeichnen bei“. Alev Korun teilt den Artikel.
09:37 Uhr. Im Zeichenunterricht hat Lehrerin Petra etwas ganz Besonderes vor: „Heute malen wir Karikaturen vom Propheten Mohammed“, erklärt sie lächelnd. „Und wenn sich dann die Eltern aufregen und mich schimpfen, schreib ich ein Buch über die Islamisierung an den Schulen und werd Bestseller-Autorin.“ Auch ihre Kollegen nicken. Fast jeder hier arbeitet an einem Buch über die Islamisierung an Schulen, da man vom Lehrergehalt alleine nicht mehr leben kann.




11:08 Uhr. Im Deutschunterricht präsentieren Schüler ihre schönsten Ferienerlebnisse. Lehrer Johannes (34) findet für einen Schüler lobende Worte: „Beeindruckend, wie du die russischen Luftangriffe auf eurer syrisches Dorf geschildert hast!“ Nach der Stunde nimmt er ihn beiseite und sagt: „Ich würd dich gern zum Psychologen schicken, aber der ist wegen Burnouts bei einem echten Psychologen.“
11:37 Uhr. Lokalaugenschein von SPÖ-Stadtschulrat Jürgen Czernohorszky, der prüft, ob auch keine katholischen Kreuze an der Wand hängen. „Die Sozialdemokratie steht für eine säkulare Gesellschaft. Religion hat im Klassenzimmer nichts zu suchen“, erklärt er und verabschiedet sich von einigen bärtigen Teenagern mit Wolfsgruß und bittet sie um die Stimmen bei der nächsten Wien-Wahl. „Weil wenn der Strache Bürgermeister wird, dürft ihr hier nicht mehr Dschihad spielen, sondern nur noch Chemnitz.“
14:57 Uhr. Turnunterricht der Mädchen. Falter-Chefredakteur Florian Klenk fällt beim Hüftaufschwung am Reck aus seiner Burka. Er flüchtet und muss seine Undercover-Reportage vorzeitig abbrechen.
15:03 Uhr. Fototermin mit Sebastian Kurz und Heinz Faßmann. Mehrere Kinder werden gegen ihren Willen in Lederhosen und Dirndl gezwängt. Für ein Foto gibt Faßmann einem Bub sein iPad. Der Bub kennt Faßmanns Passwort aus dem Fernsehen, loggt sich ein und chattet als LangerHeinz69 auf Elitepartner.
15:23 Uhr. Die Kinder bekommen im Beisein von Kurz vom Schularzt eine kostenlose Masern-Mumps-Mohammed-Impfung.
15:30 Uhr. Alle Medienvertreter fahren mit Kurz und Gernot Blümel zu einer Schule, die keine Probleme mit Integration hat: Die neu gegründete katholische „Grüß Gernot“ Privatschule im ersten Bezirk mit 2500 Euro Schulgebühr pro Monat.

",Politik,2018-09-10 13:13:04,Reuters
72,Umweltkatastrophe droht: UNO fordert Endlager für Lederjacke von Marco Wanda,"In einem flammenden Appell forderten die Vereinten Nationen heute die Errichtung eines Endlagers für die Lederjacke von Marco Wanda. Nur so können nachfolgende Generationen vor den Giftstoffen und Klimaschäden geschützt werden. Umweltschützer befürchten bereits eine globale Katastrophe. 
NEW YORK — „Die Staatengemeinschaft muss an einem Strang ziehen. Für unsere Kinder, für unsere Zukunft, für unseren Planeten!“, forderte Patricia Espinosa, die oberste UN-Klimaschützerin, mit Tränen in den Augen. Alle Diplomaten, darunter Vertreter aus China, USA und Russland, stehen auf und applaudieren.
Umweltschützer von Greenpeace rechnen vor, dass ein Endlager für die Lederjacke von Herrn Wanda Milliardenkosten verursacht. Das Lager für die Jacke müsste in 600 Metern Tiefe liegen und umgeben sein von dutzenden Atommüll-Endlagern. Nur so könne austretender Giftschweiß sofort von nuklearer Strahlung zersetzt werden.



Zu spät?
„Was die UNO hier verspricht, ist blanker Hohn. Niemand kann uns vor Wandas Lederjacke retten. Wir sind Jahre zu spät“, sagt die Global2000-Aktivistin Anita Kiefer. Sie zeigt uns Bilder von Vögeln, die durch die Ausdünstungen über Wanda-Bühnen abgestürzt sind. „Es liegt nicht daran, dass ihre Flügel verklebt wurden. Sie haben sich freiwillig in den Tod gestürzt.“ Sogar Tauben wurden nach Wanda-Konzerten zu Zugvögeln.
Totgeschwiegen
Ein noch größeres Problem wird von der UNO totgeschwiegen: die Lederhose von Andreas Gabalier. „In das Umweltverbrechen Gabalier sind Österreich und Deutschland so tief verwickelt, dass hier keine Chance auf eine Lösung besteht“, so Kiefer entmutigt.






",Welt,2018-09-07 12:47:29,Reuters
73,Neue Krimiserien auf FPÖ-TV: SOKO Gudenus und Sherlock Höbart,"Nervenzerfetzende Spannung verspricht das Herbstprogramm auf FPÖ-TV. Mit den Serien SOKO Gudenus und Sherlock Höbart schickt die FPÖ zwei beliebte Ermittler auf Verbrecherjagd. Ihre hinterlistigen Feinde: Afghanische „Musterlehrlinge“, marokkanische “Ladendiebe”, afghanische Windhunde und andere gefährliche Gefährder, die für Gefahr sorgen.
Der kauzige Sherlock Höbart unterstützt in der neuen FPÖ-TV-Eigenproduktion als Detektiv die Polizei bei ihrer Hauptaufgabe, Racial Profiling. In der ersten Folge legt er im Billa Guntramsdorf durch eine Beobachtung und eine blitzschnelle Schlussfolgerung drei Marokkanern das Handwerk.
Sherlock Höbarts übererdmenschliches Gehirn arbeitet dabei so schnell, dass er einen Ladendiebstahl antizipiert, bevor die drei Jugendlichen überhaupt eine Ware in die Hand nehmen können. Als die Polizei erklärt, die Marokkaner hätten gar nichts gestohlen, lächelt Sherlock Höbart nur wissend: „Hier und heute vielleicht nicht. Aber in einer anderen Dimension schon.“
„Musterlehrling“
In SOKO Gudenus ermittelt Johann Gudenus in schweren Verdachtsfällen. In der Pilotfolge recherchiert Gudenus betrunken auf Facebook, dreht sich zu seinem Kollegen und sagt: „Musterlehrling? Wohl eher…Mustafalehrling!“ Danach bricht Gudenus die vierte Wand und schaut unangenehme 30 Sekunden direkt in die Kamera. Beklemmend!


Eines der Highlights von SOKO Gudenus ist der übergriffige Gerichtsmediziner Dr. Marcus Franz, der mit einer schrullig-gruseligen Performance begeistert. Um sich akribisch auf die Rolle vorzubereiten, lebte Dr. Franz 40 Jahre lang als Sexist.
Weitere Krimis in Planung
Der Serienherbst auf FPÖ-TV verspricht weitere Krimi-Highlights. So gibt es zum Beispiel ein Wiedersehen mit dem beliebten Polizeihund Kommissar Rex, gespielt von Harald Vilimsky. Außerdem im Angebot sind die US-Adaptionen „Blue Detective“ sowie „Brooklyn Eight-Eight“.




Für Fans der Autobahnpolizei wartet die Regierungspartei mit dem Kracher „Alarm für Cobra 11elf!!!“: Rasante Cobra-Cops drängen jeden Wagen ab, der nicht mindestens Tempo 140 fährt.

",Leben,2018-09-06 15:27:16,Reuters
74,"„Versuchen, das Schlimmste zu verhindern“: Anonymes Mitglied der US-Regierung spricht über Widerstand gegen Trump","Ein Gastbeitrag in der New York Times eines hochrangigen Mitarbeiters der US-Regierung sorgt für Wirbel. Der Verfasser, der aus Angst um seinen Posten anonym bleibt, spricht über massiven Widerstand gegen Trump von innen. Eine Schattenregierung versuche, das Schlimmste zu verhindern.
„Es mag nur ein schwacher Trost sein. Aber die Amerikaner sollen wissen, dass ein erwachsener Diktator im Raum ist“, erklärt der Regierungsmitarbeiter, von dem nur ein zensiertes Foto existiert. „Ich erkenne, was passiert, und versuche, Trump entsprechend zu leiten.“
Der Redaktion der New York Times ist der Name des Verfassers bekannt. Man wolle die Identität jedoch nicht preisgeben, um nicht zufällig vom Balkon zu rutschen oder sich an einer Tasse Tee zu verschlucken.
Stiller Held
Um die Welt vor Unheil zu bewahren, unterwandert der Mitarbeiter bereits die nächste autoritäre Regierung eines wahnwitzigen Herrschers. Die Operation verläuft bisher nach Plan. Auf der Hochzeit der Außenministerin der betreffenden Regierung vor zwei Wochen konnte er dieser bereits einen demütigen Kniefall vor laufenden Kameras abringen.


Wutausbruch
US-Präsident Donald Trump reagiert erbost auf den Artikel: „Lasst uns sofort in die New York Times reingehen und ihn verdammt noch mal töten!“
Mittlerweile gelang es seinen engsten Mitarbeitern wieder, Trump von seinem gefährlichen Vorhaben mit einem Fidget Spinner mit seinem eigenen Gesicht darauf abzulenken.






",Welt,2018-09-06 12:01:29,Reuters
75,Regierung dementiert Afrika-Invasionspläne: Derzeit nicht genug Pferde einsatzbereit,"Eine deutliche Abfuhr erteilte die Bundesregierung heute möglichen Afrika-Invasionsplänen. Derzeit stünden nicht genug Pferde zur Verfügung, um ein solches Unterfangen mit realistischer Aussicht auf Erfolg durchzuführen.
„Eine militärische Intervention in Nordafrika ist derzeit aus verschiedenen Gründen weder sinnvoll, noch zielführend“, so Kanzler Sebastian Kurz am Mittwoch nach dem Ministerrat. „Bis heute haben sich leider zu wenige braune und schwarze Pferde beim Bundesheer für die Offizierslaufbahn beworben.“ Ohne eine ausreichende Unterstützung auf vier Hufen wollen Kurz und Strache „keine Risiken“ eingehen.
Die Truppenmobilisierung läuft dessen ungeachtet auf Hochtouren. Der Generalstab des Bundesheers arbeitet derzeit an der Rekrutierung einer schlagkräftigen Fremdenlegion aus Eseln, Zebras und Flusspferden für eine Wasserlandung. Innenminister Herbert Kickl streift seit sieben Tagen durch den Wienerwald auf der Suche nach Einhörnern für das Jagdkommando.
Führende Generäle wollten gegenüber der Tagespresse noch kein Datum für den „D-Day“ nennen. Sie betonen jedoch, die Fehler von 1942 zu vermeiden und das Militär nicht durch zwei Fronten unnötig zu schwächen. Daher soll zumindest noch die erfolgreiche Durchführung der Leistungsschau am Nationalfeiertag in Wien abgewartet werden.




",Welt,2018-09-05 15:15:27,Reuters
